WKT,osm_id,name,access,access.conditional,addr.city,addr.city.simc,addr.country,addr.door,addr.housename,addr.housenumber,addr.postcode,addr.street,amenity,artwork_subject,artwork_type,barrier,bicycle,board_type,camera.mount,check_date,contact.email,contact.facebook,contact.fax,contact.phone,contact.website,defibrillator.location,defibrillator.location.en,denomination,description,door,ele,ele.msl,ele.source,email,emergency,entrance,fax,fixme,foot,grades,height,highway,historic,horse,image,indoor,information,isced.level,lamp_mount,level,loc_name,locked,man_made,material,maxwidth.physical,memorial,min_age,mobile,motor_vehicle,motorcar,motorcycle,name.en,name.etymology.wikidata,name.pl,note,note.access,official_name,old_name,opening_hours,operator,operator.en,operator.pl,operator.type,operator.website,operator.wikidata,outdoor,parking,phone,ref.regon,ref.rspo,ref.vatin,religion,short_name,source,source.addr,support,surveillance.type,tourism,website,wheelchair,wikidata,wikimedia_commons,wikipedia,nazwa_dzie,cluster
"POINT (21.0557007 52.1515045)","279142259",Szkoła Podstawowa nr 112 Przymierza Rodzin im. Jana Pawła II,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,szkola@szkolajp2.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa nr 112 Przymierza Rodzin im. Jana Pawła II,,,"Stowarzyszenie ""Przymierze Rodzin""",,,ngo,,,,,+48 226415209,"146355572","34221",PL9511737597,,,,,,,,http://www.spprzymierzejp2.pl/,,,,,Ursynów,53
"POINT (21.075872 52.1281635)","1260315158",Prywatna Szkoła Podstawowa nr 6 Sióstr Niepokalanek im. Bł. M. Marceliny Darowskiej,,,Warszawa,,,,,"2",02-796,Jerzego Zaruby,school,,,,,,,2025-10-14,,,,,,,,,,,,,,poczta@szkolaniepokalanek.com,,,,,,,,,,,,,,"1;2",,,,,,,,,,+48 791977129,,,,,,,,,Prywatna Szkoła Podstawowa nr 6 Sióstr Niepokalanek im. Bł. M. Marceliny Darowskiej,,,Zgromadzenie Sióstr Niepokalanego Poczęcia Nmp Dom Generalny,,,religious,,,,,+48 226493826,"146337485","25031",PL8371619206,,,,,,,,https://szkolaniepokalanek.com/,,,,,Ursynów,54
"POINT (21.0411843 52.1577505)","4597658716",Prywatna Szkoła Podstawowa nr 83,,,Warszawa,,,,,"2",02-786,Wacława Lachmana,school,,,,,,,2023-08-25,,https://www.facebook.com/szkola83,,,,,,,,,,,,sekretariatsp83@gmail.com,,,,,,,,,,,,,,"1;2",,"-1",,,,,,,,,,,,,,,,,Prywatna Szkoła Podstawowa nr 83,,,Elżbieta Czekalska-Jakubowska,,,private,,,,,+48 226412517,"146363991","31704",PL9511204837,,,,,,,,http://sp83.edu.pl,no,,,,Ursynów,55
"POINT (21.0320717 52.156188)","6721093866",Szkoła Podstawowa Kosmos,,,,,,,,"95",,Aleja Komisji Edukacji Narodowej,school,,,,,,,2025-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,Ursynów,56
"POINT (21.0276357 52.160569)","6757662037",Szkoła Podstawowa nr 9 STO,,,,,,,,,,,school,,,,,,,,,,,,,,,,filia szkoły,,,,,sekretariat@9sto.edu.pl,,,,,,,,,,,,,,"1;2",,"2",,,,,,,,+48 508091331,,,,,,,,,Szkoła Podstawowa nr 9 Społecznego Towarzystwa Oświatowego,,,Samodzielne Koło Terenowe Sto Nr 20,,,ngo,,,,,+48 226434802,"146337427","25029",PL9511898828,,,,,,,,https://9sto.edu.pl/,,,,,Ursynów,57
"POINT (21.0411196 52.1509053)","6784031281",Szkoła Podstawowa przy Społecznym Liceum Ogólnokształcącym nr 4 im. Batalionu AK „Parasol”,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@slo4.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa przy Społecznym Liceum Ogólnokształcącym nr 4 im. Batalionu AK „Parasol”,,,Autorskie Towarzystwo Edukacyjne,,,ngo,,,,,+48 226412634,"367418695","133567",,,,,,,,,https://www.batalionparasol.pl/slo4/,,,,,Ursynów,58
"POINT (21.061566 52.1326705)","6893773744",Niepubliczna Szkoła Podstawowa nr 47 im. Roberta Schumana,,,,,,,,,,,school,,,,,,,2025-10-04,,,,,,,,,,,,,,szkola.podstawowa@primus.com.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,"Niepubliczna Szkoła Podstawowa nr 47 im. Roberta Schumana Fundacji ""Primus""",,,"Fundacja ""Primus""",,,ngo,,,,,+48 226482853,"146355224","30711",,,,,,,,,https://primus.com.pl/index.php/szkola-podstawowa,,,,,Ursynów,59
"POINT (21.0335736 52.108805)","9570732957",Szkoła Podstawowa Heliantus,,,,,,,,,,,school,,,,,,,,heliantus@heliantus.pl,,,,http://heliantus.pl/szkola,,,,,,,,,,,,,,,,,,,,,,,"1;2",,,,,,,,,,+48 787315656,,,,,,,,,Szkoła Podstawowa Heliantus,,,Heliantus Spółka z ograniczoną odpowiedzialnością,,,private,,,,,,"146816168","118680",,,,,,,,,,,,,,Ursynów,60
"POINT (21.0194546 52.1344838)","9570734481",Szkoła Podstawowa Montessori,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,biuro@mcem.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,+48 516104432,,,,,,,,,Międzynarodowa Szkoła Montessori w Warszawie,,,Katarzyna Zwierzchowska,,,private,,,,,,"147082113","121724",,,,,,,,,https://mcem.pl/,,,,,Ursynów,61
"POINT (21.0567705 52.1541002)","9572445569",Chrześcijańska Szkoła Podstawowa Daniel,,,Warszawa,,,,,154A,,Nowoursynowska,school,,,,,,,2024-01-20,,,,,,,,,,,,,,biuro@daniel.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,+48 795007202,,,,,,,,,Chrześcijańska Szkoła Podstawowa Daniel,,,"Fundacja ""Edukacja z Wartościami""",,,ngo,,,,,,"147138180","122373",,,,,,,,,https://daniel.edu.pl/szkola-podstawowa-daniel/,,,,,Ursynów,62
"POINT (21.0761055 52.1341393)","9572644081",Szkoła Podstawowa im. Samuela Bogumiła Lindego,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@linde.waw.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 133058,,Szkoła Podstawowa im. Samuela Bogumiła Lindego,,,Ewangelickie Towarzystwo Oświatowe,,,ngo,,,,,+48 572713508,"368335468","264398",,,,,,,,,https://www.linde.waw.pl/,,,,,Ursynów,63
"POINT (21.0644905 52.1320295)","9572646427",Prywatna Szkoła Podstawowa Active School,,,,,,"013",,,,,school,,,,,,,2024-03-26,szkola@activeschool.edu.pl,https://www.facebook.com/ActiveSchoolWarszawa/,,+48 501275211,http://www.activeschool.edu.pl,,,,,,,,,,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Prywatna Szkoła Podstawowa Active School,,,Agnieszka Maj-Kleszowska,,,private,,,,,,"367740534","133945",,,,,,,,,,,,,,Ursynów,64
"POINT (21.0732516 52.1327976)","9572661317",Amerykańska Szkoła Podstawowa Niepubliczna Nr 44,,,Warszawa,,,,,"18",02-796,Stefana Dembego,school,,,,,,,2025-10-14,secretary@ias.edu.pl,,,+48 226491440,http://www.ias.edu.pl,,,,,,,,,,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,International American School Sp. z o.o. Amerykańska Szkoła Podstawowa Niepubliczna Nr 44,,,International American School Spółka z ograniczoną odpowiedzialnością,,,private,,,,,,"146338220","25033",PL5271055211,,,,,,,,,,,,,Ursynów,65
"POINT (21.0601118 52.1500234)","11184388412",Społeczna Szkoła Podstawowa nr 1 im. Jana Nowaka-Jeziorańskiego,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@zsosto.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Społeczna Szkoła Podstawowa nr 1 im. Jana Nowaka-Jeziorańskiego,,,Samodzielne Koło Terenowe Społecznego Towarzystwa Oświatowego Nr 21 W Warszawie,,,ngo,,,,,+48 226497973,"146432077","82709",,,,,,,,,http://zsosto.pl/szkola-podstawowa/,,,,,Ursynów,66
"POINT (21.029927 52.1650478)","11214026335",Szkoła Podstawowa nr 303 im. Fryderyka Chopina,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sp303@eduwarszawa.pl,,,+48 22 643 71 23,,,0-3,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa nr 303 im. Fryderyka Chopina,,,Ursynów,,,government,,,,,+48 222594220,"000835236","22214",,,,,,,,,https://sp303.ursynow.warszawa.pl/,,,,,Ursynów,67
"POINT (21.0658523 52.1375415)","12150537961",Katolicka Szkoła Podstawowa Fundacji na Rzecz Rodziny,,,Warszawa,,,,,"3",02-793,Przy Bażantarni,school,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,,,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fundacja Na Rzecz Rodziny,,,private,,,,,,,,,christian,,,,,,,https://kspursynow.edupage.org/,,,,,Ursynów,68
"POINT (20.9994516 52.2495948)","9004861506",Prywatna Szkoła Podstawowa nr 41 Edu Bene,,,,,,,,,,,school,,,,,,,2025-03-09,,,,,,,,,,,,,,jmjopek@gmail.com,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Prywatna Szkoła Podstawowa nr 41 Edu Bene,,,Jan Jopek,,,private,,,,,+48 603607034,"368294249","264241",,,,,,,,,,,,,,Śródmieście,69
"POINT (20.9899393 52.2507795)","10577730972","Społeczna Szkoła Podstawowa Fundacji ""Alteredu""",,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,kontakt@sspfae.waw.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,"Społeczna Szkoła Podstawowa Fundacji ""Alteredu""",,,"Fundacja ""Alteredu""",,,ngo,,,,,+48 223926145,"368479180","264822",,,,,,,,,,,,,,Śródmieście,70
"POINT (20.997463 52.2411276)","10587709839",Szkoła Podstawowa Specjalna nr 243,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,zs85@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 12427,,Szkoła Podstawowa Specjalna nr 243,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 226205772,"015835888","105400",,,,,,,,,http://www.zssnr85.waw.pl,,,,,Śródmieście,71
"POINT (21.0003959 52.2350335)","10592347443",Szkoła Podstawowa Specjalna nr 196,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat.sosw15@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 14620,,Szkoła Podstawowa Specjalna nr 196,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 222771800,"015851806","105316",,,,,,,,,http://osw15warszawa.edupage.org,,,,,Śródmieście,72
"POINT (21.0280902 52.236198)","10608963127",Szkoła Podstawowa nr 34,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sp34@sp34.waw.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 113753,,Szkoła Podstawowa nr 34 im. Stanisława Dubois,,,Śródmieście,,,government,,,,,+48 228278725,"010207420","34745",PL5252206318,,,,,,,,https://sp34.waw.pl/,,,,,Śródmieście,73
"POINT (21.0180567 52.2238514)","11057365510",Prywatna Żeńska Szkoła Podstawowa z Oddziałami Dwujęzycznymi,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@cpz.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 272814,,Prywatna Żeńska Szkoła Podstawowa z Oddziałami Dwujęzycznymi im. Cecylii Plater-Zyberkówny,,,Towarzystwo Oświatowe Im. Cecylii Plater-Zyberkówny,,,ngo,,,,,+48 226215254,"146378975","31698",PL5260020367,,,,,,,,http://www.cpz.edu.pl,,,,,Śródmieście,74
"POINT (21.0238628 52.2286281)","11057372060",Szkoła Podstawowa Specjalna nr 226,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,instytutgluch@instytutgluch.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 14781,,Szkoła Podstawowa Specjalna z Oddziałami Przedszkolnymi nr 226,,,Miasto Stołeczne Warszawa,City of Warsaw,Miasto Stołeczne Warszawa,government,,Q270,,,+48 226280431,"000959642","105320",,,,,,,,,https://instytut-gluchoniemych.waw.pl/,,,,,Śródmieście,75
"POINT (21.0369617 52.2249132)","11117418053",Szkoła Podstawowa Specjalna nr 51,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@kozminska.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 14582,,Szkoła Podstawowa Specjalna nr 51,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 226291610,"015847816","105312",,,,,,,,,,,,,,Śródmieście,76
"POINT (21.0463426 52.2182307)","11117557057",Szkoła Podstawowa Montessori im. św. Urszuli Ledóchowskiej,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,szkola@spmontessori.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa Montessori im. Św. Urszuli Ledóchowskiej,,,Ośrodek Edukacji Montessori Spółka Z Ograniczoną Odpowiedzialnością,,,private,,,,,+48 729972837,"146432746","53026",PL9512165878,,,,,,,,https://www.spmontessori.pl/,,,,,Śródmieście,77
"POINT (21.0375829 52.2537796)","5795676836",Społeczna Szkoła Podstawowa,,,,,,,,,,,school,,,,,,,,spollic3@wp.pl,,,+48 22 619 39 04,http://www.3slo.pl,,,,,,,,,spollic3@wp.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Społeczna Szkoła Podstawowa im. S. Lema Społecznego Towarzystwa Oświatowego,,,Samodzielne Koło Terenowe Nr 140 Sto,,,ngo,,,,,+48 226193904,"367417394","133548",,,,,,,,,http://www.3slo.pl,,,,,Praga-Północ,78
"POINT (21.0569034 52.2574087)","9633255677",Akademicka Szkoła Podstawowa Wyższej Szkoły Menedżerskiej w Warszawie,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,superszkola@mac.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Akademicka Szkoła Podstawowa Wyższej Szkoły Menedżerskiej w Warszawie,,,Wyższa Szkoła Menedżerska W Warszawie,,,private,,,,,+48 228188302,"367511012","133636",,,,,,,,,https://liceum.wsm.warszawa.pl/,,,,,Praga-Północ,79
"POINT (21.0479842 52.2559303)","9633379885",Szkoła Podstawowa Specjalna nr 6,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,zsp@zspnr10.waw.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 267766,,Szkoła Podstawowa Specjalna nr 6,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 226190505,"000967506","105667",,,,,,,,,http://www.zspnr10.waw.pl,,,,,Praga-Północ,80
"POINT (21.0459129 52.2598586)","9646785945",Niepubliczna Szkoła Podstawowa Promitis,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,warszawa@autyzm-szkola.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Niepubliczna Szkoła Podstawowa Promitis,,,Piotr Langiewicz,,,private,,,,,+48 790090762,"380453069","267635",,,,,,,,,,,,,,Praga-Północ,81
"POINT (21.014447 52.2730593)","12357072520",Niepubliczna Szkoła Podstawowa Wyspa JP2,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,szkola@wyspajp2.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,,,,Dobra Wyspa Spółka z ograniczoną odpowiedzialnością,,,private,,,,,+48 789 340 135,"367419186","133572",,,,,,,,,,,,,,Praga-Północ,82
"POINT (20.8999141 52.1971835)","9680928360",Szkoła Podstawowa nr 360 im. Polskich Noblistek,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat.sp360@eduwarszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa nr 360 im. Polskich Noblistek,,,Ursus,,,government,,,,,+48 226272823,"380575097","267728",PL5223134645,,,,,,,,http://www.sp360.warszawa.pl,,,,,Ursus,83
"POINT (20.8663332 52.1995631)","11148229070",Niepubliczna Podstawowa Szkoła Montessori,,,,,,,,,,,school,,,,,,,2024-12-17,,,,,,,,,,,,,,sekretariat@poem.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Niepubliczna Podstawowa Szkoła Montessori w Warszawie,,,Dorota Rotowska,,,private,,,,,+48 228828555,"146399925","52992",PL5222500349,,,,,,,,https://www.poem.pl/,,,,,Ursus,84
"POINT (21.0682602 52.2661767)","9669661698",Niepubliczna Integracyjna Szkoła Podstawowa,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@nispar.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Niepubliczna Integracyjna Szkoła Podstawowa im. Achillesa Ratti,,,"Fundacja Edukacyjna ""Non Verba""",,,ngo,,,,,+48 661218367,"363155738","129946",,,,,,,,,,,,,,Targówek,85
"POINT (21.0791711 52.2909253)","9719055648",Prywatna Szkoła Podstawowa nr 108,,,Warszawa,"988827",,,,9/11,03-699,Krynoliny,school,,,,,,,2025-06-09,,,,,,,,,,,,,,psp108@o2.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Prywatna Szkoła Podstawowa nr 108 im. Matki Boskiej Nieustającej Pomocy,,,Zg.oo.oblatów Świętego Józefa,,,religious,,,,,+48 226790108,"146351373","31812",PL1130572847,,,,,,,,http://www.psp108.pl,,,,,Targówek,86
"POINT (21.0306733 52.2968983)","9983928980",Szkoła Podstawowa nr 379 im. Szarych Szeregów,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@szkolyszareszeregi.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 271758,,Szkoła Podstawowa nr 379 im. Szarych Szeregów w Warszawie,,,Targówek,,,government,,,,,+48 228111908,"367486640","133614",,,,,,,,,https://zs128.edupage.org,,,,,Targówek,87
"POINT (21.0470113 52.2942508)","9983933598",Szkoła Podstawowa nr 380 im. Jana Pawła II,,,,,,,,,,,school,,,,,,,2025-04-21,,,,,,,,,,,,,,sp380@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa nr 380 im. Jana Pawła II w Warszawie,,,Targówek,,,government,,,,,+48 226756303,"367486656","133615",,,,,,,,,http://szkolanakrasiczynskiej.pl/,,,,,Targówek,88
"POINT (21.0510664 52.2881537)","9984029737",Szkoła Podstawowa Zielona Szkoła w Folwarku,,,Warszawa,"988827",,,,"92",03-291,Świętego Wincentego,school,,,,,,,,,,,,,,,,,,,,,dyrektor@zielonaszkola.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa Zielona Szkoła w Folwarku,,,"""Pgr Bródno"" Spółka z ograniczoną odpowiedzialnością",,,private,,,,,+48 519052505,"389855208","278191",,,,,,,,,,,,,,Targówek,89
"POINT (21.1324069 52.2594606)","7170380727",Szkoła Podstawowa Specjalna nr 131,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,mowstrazacka@mowstrazacka.com,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 14321,,Szkoła Podstawowa Specjalna nr 131,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 226735094,"000967498","105304",,,,,,,,,http://mowstrazacka.com,,,,,Rembertów,90
"POINT (21.1359001 52.2468891)","7171248362",Szkoła Podstawowa nr 254 im. Gen Franciszka Żymirskiego,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,zs74@eduwarszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 73117,,Szkoła Podstawowa nr 254 im. Gen Franciszka Żymirskiego w Zespole Szkół nr 74,,,Rembertów,,,government,,,,,+48 228798018,"000801361","103940",PL9521897629,,,,,,,,https://www.zs74.pl/,,,,,Rembertów,91
"POINT (20.9679867 52.2158587)","11166866965",Szkoła Podstawowa dla Dorosłych nr 372,,,Warszawa,"918643",,,,50/54,02-353,Szczęśliwicka,school,,,,,,,,,,,,,,,,,,,,,cku2@rubikon.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 17220,,Szkoła Podstawowa dla Dorosłych nr 372 w Warszawie,,,Ochota,,,government,,,,,+48 228229895,"367397444","133534",,,,,,,,,,,,,,Ochota,92
"POINT (20.9840563 52.20718)","11166984137",Szkoła Podstawowa Specjalna nr 287 im. Józefa Polikarpa Brudzińskiego,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sp287@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa w Dziecięcym Szpitalu Klinicznym im. Józefa Polikarpa Brudzińskiego Specjalna nr 287,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 223179405,"016270454","105405",,,,,,,,,https://sps287.edu.pl/,,,,,Ochota,93
"POINT (20.9818518 52.2193884)","11166985128",Szkoła Podstawowa nr 174,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,dyrektor@barskaorione.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 81773,,Szkoła Podstawowa nr 174 Małe Dzieło Boskiej Opatrzności - Orioniści,,,Zgromadzenie Zakonne Małe Dzieło Boskiej Opatrzności - Orioniści Prowincja Polska,,,religious,,,,,+48 228220280,"146441679","103820",,,,,,,,,http://barskaorione.pl,,,,,Ochota,94
"POINT (21.001477 52.2224221)","11167015767",Szkoła Podstawowa Specjalna nr 302,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sp302@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa w Mazowieckim Centrum Neuropsychiatrii Specjalna nr 302,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 224682422,"012439749","14785",PL5213090478,,,,,,,,,,,,,Ochota,95
"POINT (20.9322197 52.2836689)","2360803447",Szkoła Podstawowa nr 370,,,Warszawa,"988804",,,,"2",01-910,Lwa Tołstoja,school,,,,,,,,,,,,,,,,,,,,,sekretariat@gorski.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 23488,,Szkoła Podstawowa nr 370,,,Bielany,,,government,,,,,+48 228359558,"367529029","133678",,,,,,,,,http://www.gorski.edu.pl,,,,,Bielany,96
"POINT (20.9504709 52.287287)","7171378775",Szkoła Podstawowa Specjalna nr 346 w Szpitalu Bielańskim im. ks. Jerzego Popiełuszki w SPZOZ,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sp346@edu.um.warszawa.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa Specjalna Nr 346 w Szpitalu Bielańskim im. Ks. Jerzego Popiełuszki,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 228343007,"012747586","105417",,,,,,,,,https://sp346.prv.pl/,,,,,Bielany,97
"POINT (20.927765 52.2707127)","10237735371",Niepubliczna Szkoła Podstawowa,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,los13@los13.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Niepubliczna Szkoła Podstawowa,,,Bartosz Przygoda,,,private,,,,,+48 226690332,"362290871","128471",,,,,,,,,,,,,,Bielany,98
"POINT (20.9211125 52.3124999)","10237753046",Katolicka Szkoła Podstawowa nr 109 Fundacji Na Rzecz Rodziny,,,Warszawa,"988804",,,,1/3,01-938,Kazimierza Wóycickiego,school,,,,,,,,,,,,,,,,,,,,,ksp.mlociny@fnrr.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Katolicka Szkoła Podstawowa nr 109 Fundacji Na Rzecz Rodziny im. Św. Rodziny,,,Fundacja Na Rzecz Rodziny,,,ngo,,,,,+48 228354104,"146377622","31811",PL9512153154,,,,,,,,http://www.ksp109.waw.pl,,,,,Bielany,99
"POINT (20.9393676 52.2843837)","10243210212",Społeczna Szkoła Podstawowa Integracyjna nr 100 Społecznego Towarzystwa Oświatowego,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,sekretariat@jaskolka100.org,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Społeczna Szkoła Podstawowa Integracyjna nr 100 Społecznego Towarzystwa Oświatowego,,,Samodzielne Koło Terenowe Nr 232 Społecznego Towarzystwa Oświatowego,,,ngo,,,,,+48 228657455,"146368907","31797",PL1181895218,,,,,,,,https://www.jaskolka100.org/,,,,,Bielany,100
"POINT (20.9684678 52.2755351)","10243228307",Szkoła Podstawowa nr 86,,,,,,,,,,,school,,,,,,,2024-03-09,,,,,,,,,,,,,,sp86@skie.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa nr 86 Stowarzyszenia Kultury i Edukacji,,,Stowarzyszenie Kultury i Edukacji,,,ngo,,,,,+48 228388926,"146355388","34222",PL5271045997,,,,,,,,https://www.skie.pl/,,,,,Bielany,101
"POINT (20.9629435 52.2798608)","10243294287",Szkoła Podstawowa Niepubliczna nr 74,,,Warszawa,"988804",,,,"31",01-698,Władysława Smoleńskiego,school,,,,,,,,,,,,,,,,,,,,,szkola@smolenskiego.edu.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Szkoła Podstawowa Niepubliczna nr 74 im. Błogosławionego Honorata Koźmińskiego,,,Zgromadzenie Sióstr Najświętszego Imienia Jezus Pod Opieką Maryi Panny Wspomożenia Wiernych,,,religious,,,,,+48 228322707,"146368882","29951",PL1181538168,,,,,,,,https://smolenskiego.edu.pl/,,,,,Bielany,102
"POINT (20.9442445 52.2793891)","10243401074",Niepubliczna Szkoła Podstawowa Fundacji Scolar,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,szkola@scolar.pl,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,,,Niepubliczna Szkoła Podstawowa Fundacji Scolar,,,Fundacja Scolar,,,ngo,,,,,+48 228484324,"365563714","132354",,,,,,,,,,,,,,Bielany,103
"POINT (20.9391401 52.27591)","10245484006",Szkoła Podstawowa Specjalna nr 347,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,zpow@zpow.eu,,,,,,,,,,,,,,"1;2",,,,,,,,,,,,,,,,,Parent RSPO: 105295,,Szkoła Podstawowa Specjalna nr 347 w Młodzieżowym Ośrodku Socjoterapii nr 4 w Zespole Placówek Opiekuńczo-Wychowawczych,,,Miasto Stołeczne Warszawa,,,government,,,,,+48 228348684,"015858056","106323",,,,,,,,,http://zpow.eu,,,,,Bielany,104
